Categoria_de_premiação,Nome_do_projeto,Escola,Cidade,Estado,Ano
Prêmio Defesa Civil do Estado de São Paulo ,Dessalinizador vertical fototermofuncional ,Colégio Paraíso, Juazeiro Do Norte,Ceará (CE),2018
Prêmio Poli Cidadã - Menção Honrosa ,Utilização de rejeitos siderúrgicos na produção de argamassas: substituição parcial da areia por pó de balão ,Instituto Federal de Educação,Corumbá,Tocantins (TO),2018
Prêmio Poli Cidadã - Menção Honrosa ,Sonda de baixo custo para determinação da qualidade da água ,Instituto Federal de Educação,Corumbá,Tocantins (TO),2018
Prêmio Poli Cidadã - Destaque em Tecnologia e Desenvolvimento Social ,Estudo da aplicabilidade do caroço do açaí como massa modelável ,Sistema de Ensino Inove, Abaetetuba,Pará (PA),2018
Prêmio Associação dos Engenheiros Politécnicos ,Recuperação de cobre e níquel do lodo das indústrias de folheados para a produção de sais e estudo das aplicações ,Etec Trajano Camargo, Limeira,São Paulo (SP),2018
Prêmio Associação dos Engenheiros Politécnicos ,Áudio Guia 2.0: interface de realidade aumentada em áudio para navegação e orientação de pessoas com deficiência visual por meio do mapa espacial cognitivo ,Instituto Federal de Educação,Charqueadas,Tocantins (TO),2018
Prêmio Associação dos Engenheiros Politécnicos ,Dispenser autônomo de líquidos para recipientes com tamanhos variados ,Colégio Ser, Jundiai,São Paulo (SP),2018
Prêmio Associação dos Engenheiros Politécnicos ,Dispositivo interativo com o transporte público para deficientes visuais ,E.T.E. Henrique Lage, Niteroi,Rio de Janeiro (RJ),2018
Prêmio Centro Estadual de Educação Tecnológica Paula Souza ,Utilização de lixo na fundação de casas na Amazônia: problema ou solução? ,E.E.E.M. Profa. Ernestina Pereira Maia, Moju,Pará (PA),2018
Prêmio Samsung Internet das Coisas ,Auxílio 3Di ,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2018
Prêmio Destaque Instituto 3M ,Criação de banco de dados ~ e sensoriamento para acompanhamento da qualidade das águas do Ribeira online e offline ,Campo não encontrado,Campo não encontrado,Campo não encontrado,2018
Prêmio Destaque Instituto 3M ,Braille Reader ,Colégio Técnico de Campinas - UNICAMP, Campinas,São Paulo (SP),2018
Prêmio Destaque Instituto 3M ,Robô hexápode de resgate ,Etec Bento Quirino, Campinas,São Paulo (SP),2018
 ,CultiveBot - sistema de plantação inteligente ,IFPB - Campus Picuí, Picui,Paraíba (PB),2018
 ,Produção de biofertilizante e análises cromatográficas do solo ,Etec Cônego José Bento (Escola Agrícola) , Jacarei,São Paulo (SP),2018
4o. Lugar em Ciências Biológicas ,Dos cocais ao laboratório: utilização do mesocarpo da Attalea speciosa Mart. em benefício do sistema imunológico ,Escola Comunitária de Augustinópolis, Augustinopolis,Tocantins (TO),2018
4o. Lugar em Ciências Biológicas ,Cimento ósseo a partir da reciclagem de resíduos das indústrias coureira e pesqueira ,Etec Prof. Carmelino Corrêa Júnior (agrícola), Franca,São Paulo (SP),2018
4o. Lugar em Ciências Biológicas ,Análise da eficiência do Bti (Bacillus thuringiensis israelensis) no controle de larvas do Aedes aegypti utilizando armadilhas de oviposição ,Escola Municipal Lenita de Sena Nachif, Campo Grande,Mato Grosso do Sul (MS),2018
4o. Lugar em Ciências Biológicas ,Uso do sabugo de milho para substituição do poliestireno ,Colégio Sesi, Campo Largo,Paraná (PR),2018
4o. Lugar em Ciências da Saúde ,Aplicação da pasteurização como método de conservação do caldo de cana e inativação do agente etiológico Trypanosoma cruzi causador da doença de Chagas – Fase II ,E.E. Viriato Bandeira, Coxim,Mato Grosso do Sul (MS),2018
4o. Lugar em Ciências da Saúde ,A utilização de conchas marinhas como alternativa sustentável para o tratamento dentário ,E.E. Rui Barbosa, Tibau,Rio Grande do Norte (RN),2018
4o. Lugar em Ciências Exatas e da Terra ,Iluminar - construção audiovisual do conhecimento ,Colégio Militar de Manaus, Manaus,Amazonas (AM),2018
4o. Lugar em Ciências Exatas e da Terra ,Free Access: sistema colaborativo para mapeamento de locais com acessibilidade para pessoas com mobilidade reduzida ,Instituto Federal de Educação,Natal,Tocantins (TO),2018
4o. Lugar em Ciências Exatas e da Terra ,Modelo 3D de química orgânica para montagem de moléculas acessível a todos e de baixo custo ,IFSP - Campus Campinas, Campinas,São Paulo (SP),2018
4o. Lugar em Ciências Exatas e da Terra ,Sistema de auxílio na locomoção de deficientes visuais ,Escola Técnica Estadual Frederico Guilherme Schmidt, Sao Leopoldo,Rio Grande do Sul (RS),2018
4o. Lugar em Ciências Humanas ,Estudo comparativo da síndrome de Burnout entre professores de escolas estaduais e privadas de Campo Grande - MS ,Colégio Status - Jardim Paulista, Campo Grande,Mato Grosso do Sul (MS),2018
4o. Lugar em Ciências Humanas ,Special science: game didático de ciências naturais para a educação especial – desenvolvimento e aplicação ,Colégio Julieta Mota Dos Santos, Coxim,Mato Grosso do Sul (MS),2018
4o. Lugar em Ciências Humanas ,Protagonismo e cidadania: um estudo sobre o posicionamento político dos estudantes da Escola Alexandre von Humboldt ,E.E. Alexandre von Humboldt, Sao Paulo,São Paulo (SP),2018
4o. Lugar em Ciências Sociais Aplicadas ,"Doação de sangue, uma busca sem fim! ",E.M.E.F Maria Almerinda Paz de Oliveira, Nova Hartz,Rio Grande do Sul (RS),2018
4o. Lugar em Ciências Sociais Aplicadas ,Projeto material didático para alfabetização - Braile ,SENAI Norte 1, Joinville,Santa Catarina (SC),2018
4o. Lugar em Engenharia ,Reaproveitamento de materiais cerâmicos em substituição da areia na produção de concreto - REMACE ,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2018
4o. Lugar em Engenharia ,Avaliação da influência de material particulado inalável sobre internações por doenças respiratórias em Camboriú e Balneário Camboriú - SC ,Instituto Federal de Educação,Camboriú,Tocantins (TO),2018
4o. Lugar em Engenharia ,CoLiBRI: controle remoto para pessoas com limitação visual baseado em reconhecimento e interpretação de comandos de voz ,Instituto Federal de Educação,Valença,Tocantins (TO),2018
4o. Lugar em Engenharia ,LIS - luva interpretadora de sinais ,Centro Estadual de Educação Profissional Pedro Boaretto Neto, Cascavel,Paraná (PR),2018
3o. Lugar nas categorias gerais da FEBRACE ,Desenvolvimento de um fotômetro baseado em sistema embarcado para o monitoramento de ácidos húmicos presentes na matéria orgânica do solo ,Instituto Federal do Mato Grosso do Sul - Campus Nova Andradina, Nova Andradina,Mato Grosso do Sul (MS),2018
3o. Lugar em Ciências Biológicas ,SFTE - sistema fracionado de tratamento de efluentes domésticos ,Colégio Santa Teresinha, Campo Bom,Rio Grande do Sul (RS),2018
3o. Lugar em Ciências Biológicas ,Biopolímero enriquecido com fibra de bananeira como alternativa a materiais poluentes ,Colégio Olimpus, Arapongas,Paraná (PR),2018
3o. Lugar em Ciências da Saúde ,Efeito da atividade física sobre o tráfego e degradação mitocondrial em um modelo de ratos da doença de Parkinson - Fase II ,Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2018
3o. Lugar em Ciências Exatas e da Terra ,Biopolímero a partir da farinha de arroz e sua aplicação como revestimento protetor de frutos ,Etec Júlio de Mesquita, Santo Andre,São Paulo (SP),2018
3o. Lugar em Ciências Exatas e da Terra ,Espuma de poliuretano a partir da casca da mandioca: o uso do lei de Lavoisier para explicar a transformação de resíduo em novos materiais ,E.E. Fernando Otavio, Para De Minas,Minas Gerais (MG),2018
3o. Lugar em Ciências Exatas e da Terra ,Braille Reader ,Colégio Técnico de Campinas - UNICAMP, Campinas,São Paulo (SP),2018
3o. Lugar em Ciências Humanas ,O mapa tátil como instrumento para inclusão educacional ,Campo não encontrado,Campo não encontrado,Campo não encontrado,2018
3o. Lugar em Ciências Humanas ,X-Guardião: transparência em foco ,E.E. Educação Profissional Júlio França, Bela Cruz,Ceará (CE),2018
3o. Lugar em Ciências Sociais Aplicadas ,Gravidez e maternidade na adolescência: mobilidade social e sociabilidade local na periferia de São Paulo ,Escola Nova Lourenço Castanho, Sao Paulo,São Paulo (SP),2018
3o. Lugar em Engenharia ,Sonda de baixo custo para determinação da qualidade da água ,Instituto Federal de Educação,Corumbá,Tocantins (TO),2018
3o. Lugar em Engenharia ,Desenvolvimento de um dispositivo coletor de amostras acessível a áreas remotas a partir do uso de um drone hexacóptero ,Colégio Interativa, Londrina,Paraná (PR),2018
3o. Lugar em Engenharia ,Sensor de movimento 3D para equoterapia ,Instituto Federal de Educação Ciência e Tecnologia Catarinense - Campus Rio do Sul, Rio Do Sul,Santa Catarina (SC),2018
3o. Lugar em Engenharia ,Desenvolvimento de um sistema de alerta para moradores de áreas suscetíveis a enchentes em Atibaia (SAMASE) ,Colégio FAAT, Atibaia,São Paulo (SP),2018
2o. Lugar em Ciências Agrárias ,Biovaso: reaproveitamento dos resíduos de biomassa Euterpe oleracea para a produção de vasos ecológicos ,Escola Conexão Aquarela, Macapa,Amapá (AP),2018
2o. Lugar em Ciências Biológicas ,Cashew Bottle: garrafa biodegradável produzida a partir do reaproveitamento de resíduos do cajueiro (Anacardium occidentale L.). ,E.E. Prof. Hermógenes Nogueira da Costa, Mossoro,Rio Grande do Norte (RN),2018
2o. Lugar em Ciências Biológicas ,A microbiota autóctone como solução para impactos ambientais e reaproveitamento dos resíduos do tratamento de água ,Instituto Federal de Educação,Osório,Tocantins (TO),2018
2o. Lugar em Ciências da Saúde ,Análise das atividades bioativas da Synadenium grantii ,Instituto Federal de Educação,Rio De Janeiro,Tocantins (TO),2018
2o. Lugar em Ciências Exatas e da Terra ,Bolmoringa - o uso da semente da Moringa oleifera como solução a eutrofização ,Escola SESI-Canaã Centro de Atividades Mozart Soares Filho, Goiania,Goiás (GO),2018
2o. Lugar em Ciências Exatas e da Terra ,MapAedes: sistema de mapeamento georreferenciado de focos de Aedes aegypti L. e suas patologias ,Instituto Federal de Educação,Campo Grande,Tocantins (TO),2018
2o. Lugar em Ciências Humanas ,EDUCOAMBIENTAL: Construção e uso de um aplicativo android na reeducação ambiental ,Instituto Federal de Educação,Ceará-Mirim,Rio Grande Do Norte(RN),2018
2o. Lugar em Ciências Humanas ,Síndrome de burnout: um estudo com professores de uma escola da rede pública de Belo Horizonte ,E.E. Três Poderes, Belo Horizonte,Minas Gerais (MG),2018
2o. Lugar em Ciências Sociais Aplicadas ,Guaruak: tecnologias contemporâneas em defesa do guarani ,Instituto Federal de Educação,Dourados,Tocantins (TO),2018
2o. Lugar em Engenharia ,Dispositivo interativo com o transporte público para deficientes visuais ,E.T.E. Henrique Lage, Niteroi,Rio de Janeiro (RJ),2018
2o. Lugar em Engenharia ,UV - Assistant: analisador de risco à radiação ultravioleta ,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2018
2o. Lugar em Engenharia ,Dessalinizador vertical fototermofuncional ,Colégio Paraíso, Juazeiro Do Norte,Ceará (CE),2018
2o. Lugar em Engenharia ,Áudio Guia 2.0: interface de realidade aumentada em áudio para navegação e orientação de pessoas com deficiência visual por meio do mapa espacial cognitivo ,Instituto Federal de Educação,Charqueadas,Tocantins (TO),2018
1o. Lugar em Ciências Agrárias ,Aumento na produção agrícola a partir da utilização de gás carbônico no tratamento de sementes - fase II ,Colégio Londrinense - Instituto Filadélfia de Londrina, Londrina,Paraná (PR),2018
1o. Lugar em Ciências Biológicas ,Redução dos níveis de CO2 antrópico na atmosfera utilizando o metabolismo da microalga Dunaliella salina e aproveitamento da sua biomassa para produção de tensoativo ,SESI Piatã - Escola Djalma Pessoa, Salvador,Bahia (BA),2018
1o. Lugar em Ciências Biológicas ,Ciclo ambiental polimérico: produzindo materiais cristalinos para resolução de problemas ambientais ,Instituto Federal de Educação,Limoeiro Do Norte,Tocantins (TO),2018
1o. Lugar em Ciências da Saúde ,Utilização de compostos bioativos microbianos no desenvolvimento de alternativa para combate de Cândida spp. ,Colégio Interativa, Londrina,Paraná (PR),2018
1o. Lugar em Ciências Exatas e da Terra ,Auxílio 3Di ,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2018
1o. Lugar em Ciências Exatas e da Terra ,Detecção de drogas ansiolíticas em bebidas alcoólicas adulteradas ,Instituto Federal de Educação,Osório,Tocantins (TO),2018
1o. Lugar em Ciências Humanas ,"Estudo sobre sexo, gênero e orientação sexual a partir da análise literária da obra A garota dinamarquesa, de David Ebershoff ",Escola Gappe, Campo Grande,Mato Grosso do Sul (MS),2018
1o. Lugar em Ciências Humanas ,Cartografia dos adolescentes desaparecidos no “Triângulo da Violência” na zona sul da cidade de São Paulo em 2016 ,Escola Nova Lourenço Castanho, Sao Paulo,São Paulo (SP),2018
1o. Lugar em Ciências Sociais Aplicadas ,Utilização de lixo na fundação de casas na Amazônia: problema ou solução? ,E.E.E.M. Profa. Ernestina Pereira Maia, Moju,Pará (PA),2018
1o. Lugar em Engenharia ,Dispenser autônomo de líquidos para recipientes com tamanhos variados ,Colégio Ser, Jundiai,São Paulo (SP),2018
1o. Lugar em Engenharia ,Recuperação de cobre e níquel do lodo das indústrias de folheados para a produção de sais e estudo das aplicações ,Etec Trajano Camargo, Limeira,São Paulo (SP),2018
1o. Lugar em Engenharia ,Sistema de mapeamento autônomo ,Instituto Federal de Educação,Campo Grande,Tocantins (TO),2018
Prêmio FECEAP ,Projeto material didático para alfabetização - Braile ,SENAI Norte 1, Joinville,Santa Catarina (SC),2018
Prêmio FECEAP ,A utilização de conchas marinhas como alternativa sustentável para o tratamento dentário ,E.E. Rui Barbosa, Tibau,Rio Grande do Norte (RN),2018
Prêmio FECEAP ,EDUCOAMBIENTAL: Construção e uso de um aplicativo android na reeducação ambiental ,Instituto Federal de Educação,Ceará-Mirim,Rio Grande Do Norte(RN),2018
Prêmio FECEAP ,Bolmoringa - o uso da semente da Moringa oleifera como solução a eutrofização ,Escola SESI-Canaã Centro de Atividades Mozart Soares Filho, Goiania,Goiás (GO),2018
Prêmio FEROCIT ,Desenvolvimento de um fotômetro baseado em sistema embarcado para o monitoramento de ácidos húmicos presentes na matéria orgânica do solo ,Instituto Federal do Mato Grosso do Sul - Campus Nova Andradina, Nova Andradina,Mato Grosso do Sul (MS),2018
Prêmio FEROCIT ,Utilização de lixo na fundação de casas na Amazônia: problema ou solução? ,E.E.E.M. Profa. Ernestina Pereira Maia, Moju,Pará (PA),2018
Prêmio FEROCIT ,Síndrome de burnout: um estudo com professores de uma escola da rede pública de Belo Horizonte ,E.E. Três Poderes, Belo Horizonte,Minas Gerais (MG),2018
 ,UV - Assistant: analisador de risco à radiação ultravioleta ,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2018
 ,Desenvolvimento de um sistema de alerta para moradores de áreas suscetíveis a enchentes em Atibaia (SAMASE) ,Colégio FAAT, Atibaia,São Paulo (SP),2018
 ,MapAedes: sistema de mapeamento georreferenciado de focos de Aedes aegypti L. e suas patologias ,Instituto Federal de Educação,Campo Grande,Tocantins (TO),2018
Prêmio EXPOCETI ,Sensor de movimento 3D para equoterapia ,Instituto Federal de Educação Ciência e Tecnologia Catarinense - Campus Rio do Sul, Rio Do Sul,Santa Catarina (SC),2018
Prêmio EXPOCETI ,Desenvolvimento de um dispositivo coletor de amostras acessível a áreas remotas a partir do uso de um drone hexacóptero ,Colégio Interativa, Londrina,Paraná (PR),2018
Prêmio Destaque EXPOCETI ,Gravidez e maternidade na adolescência: mobilidade social e sociabilidade local na periferia de São Paulo ,Escola Nova Lourenço Castanho, Sao Paulo,São Paulo (SP),2018
